Month_Num,Downloads,Mod Rewards,Your Reward,Rewards per Download,Month_Name
1,47604.6,46272.4,46272.4,0.94,January
2,43056.8,41940.6,41940.6,0.95,February
3,40883.2,39776.0,39776.0,0.96,March
4,35404.4,34087.4,34087.4,0.95,April
5,44067.0,42383.4,42383.4,0.95,May
6,47624.8,46273.2,46273.2,0.96,June
7,47265.6,45887.2,45887.2,0.96,July
8,47095.6,45549.4,45549.4,0.96,August
9,47888.0,46700.2,46700.2,0.97,September
10,48913.83,48123.5,48123.5,0.98,October
11,51256.83,50341.5,50341.5,0.98,November
12,50642.4,49146.4,49146.4,0.92,December
