Year,Quarter,Downloads_sum,Downloads_mean,Downloads_std,Mod Rewards_sum,Mod Rewards_mean,Mod Rewards_std,Your Reward_sum,Your Reward_mean,Your Reward_std,Rewards per Download_mean,Downloads QoQ Growth %,Rewards QoQ Growth %
2020,4,11003,3667.67,3861.79,8716,2905.33,2643.23,8716,2905.33,2643.23,0.9,,
2021,1,34077,11359.0,2247.88,30372,10124.0,2366.16,30372,10124.0,2366.16,0.89,209.70644369717348,248.46259752179898
2021,2,49430,16476.67,1331.4,43639,14546.33,1391.62,43639,14546.33,1391.62,0.88,45.05384863691053,43.68168049519294
2021,3,102527,34175.67,11693.37,94492,31497.33,11000.66,94492,31497.33,11000.66,0.92,107.4185717175804,116.53108458030661
2021,4,128470,42823.33,1744.87,120293,40097.67,1573.36,120293,40097.67,1573.36,0.94,25.303578569547525,27.304957033399656
2022,1,89162,29720.67,2865.5,82208,27402.67,2555.38,82208,27402.67,2555.38,0.92,-30.59702654316183,-31.66019635390256
2022,2,143089,47696.33,12628.6,131181,43727.0,12051.87,131181,43727.0,12051.87,0.91,60.48204392005563,59.57206111327365
2022,3,133482,44494.0,3815.93,124029,41343.0,3092.94,124029,41343.0,3092.94,0.93,-6.714003172850469,-5.452009056189544
2022,4,121450,40483.33,2567.14,116114,38704.67,2417.08,116114,38704.67,2417.08,0.96,-9.013949446367297,-6.381572051697582
2023,1,94046,31348.67,5059.27,88742,29580.67,4312.92,88742,29580.67,4312.92,0.95,-22.56401811445039,-23.57338477702947
2023,2,102599,34199.67,6936.66,99939,33313.0,6902.25,99939,33313.0,6902.25,0.97,9.094485677221776,12.617475378062238
2023,3,149047,49682.33,11600.57,146762,48920.67,11717.58,146762,48920.67,11717.58,0.98,45.271396407372386,46.85157946347272
2023,4,346708,115569.33,2313.81,345264,115088.0,2262.93,345264,115088.0,2262.93,1.0,132.61655719336852,135.254357394966
2024,1,271906,90635.33,13530.35,270410,90136.67,13477.94,270410,90136.67,13477.94,0.99,-21.574927604785586,-21.68022151165485
2024,2,186766,62255.33,18590.36,185804,61934.67,18614.48,185804,61934.67,18614.48,0.99,-31.312291747883457,-31.28804408121001
2024,3,227854,75951.33,10083.09,227286,75762.0,10060.23,227286,75762.0,10060.23,1.0,21.999721576732377,22.325676519342963
2024,4,163786,54595.33,5802.18,163446,54482.0,5774.74,163446,54482.0,5774.74,1.0,-28.118005389416034,-28.087959663155672
2025,1,168532,56177.33,3895.58,168213,56071.0,3922.55,168213,56071.0,3922.55,1.0,2.8976835626976616,2.9165595976652803
2025,2,153597,51199.0,6155.57,153157,51052.33,6146.35,153157,51052.33,6146.35,1.0,-8.861818527045306,-8.950556734616233
2025,3,98336,32778.67,758.63,98115,32705.0,742.9,98115,32705.0,742.9,1.0,-35.977916235343145,-35.938285550121776
2025,4,82819,41409.5,4352.24,82689,41344.5,4352.24,82689,41344.5,4352.24,1.0,-15.779572079401238,-15.722366610609996
